 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
1024.0 1024.0 773.1   0.0   24576.0   7423.7   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0   8991.1   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  10616.0   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  12489.7   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  13993.2   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  15527.5   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  17448.4   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  18697.7   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  20247.0   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  22082.5   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1024.0 1024.0 773.1   0.0   24576.0  23608.9   88576.0    56659.9   46080.0 42645.0 7168.0 6144.0    118    0.361   5      0.321    0.682
1536.0 1024.0  0.0   852.6  24576.0   687.1    88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0   2397.0   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0   4231.7   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0   5799.9   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0   7298.6   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0   9162.6   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  10702.5   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  12271.3   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  13807.1   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  15357.4   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  16931.9   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  19151.7   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  20769.0   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  22295.6   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1536.0 1024.0  0.0   852.6  24576.0  24146.1   88576.0    56675.9   46080.0 42645.4 7168.0 6144.0    119    0.364   5      0.321    0.685
1024.0 1024.0 713.8   0.0   24576.0   1165.2   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0   3042.4   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0   4608.5   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0   6261.9   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0   8176.1   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0   9700.7   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  11294.5   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  13100.7   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  14640.3   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  16131.4   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  17688.3   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  19138.9   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  20672.6   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  22204.7   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
1024.0 1024.0 713.8   0.0   24576.0  24087.8   88576.0    56723.9   46080.0 42645.9 7168.0 6144.0    120    0.366   5      0.321    0.687
512.0  1024.0  0.0   762.6  24576.0   1182.1   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0   2815.3   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0   4578.5   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0   6135.5   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0   7643.6   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0   9163.6   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  10724.3   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  12591.2   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  14101.5   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  15743.6   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  17331.8   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  18767.8   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  20464.3   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  22075.3   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0  0.0   762.6  24576.0  23625.1   88576.0    56779.9   46080.0 42648.8 7168.0 6144.0    121    0.368   5      0.321    0.690
512.0  1024.0 506.6   0.0   24576.0   662.3    88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0   2717.1   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0   4255.7   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0   5860.8   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0   7359.1   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0   9275.0   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  10635.9   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  12118.6   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  13937.5   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  15517.4   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  17407.7   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  18950.4   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  20939.1   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  22447.9   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
512.0  1024.0 506.6   0.0   24576.0  24036.4   88576.0    56955.9   46080.0 42649.4 7168.0 6144.0    122    0.372   5      0.321    0.693
1024.0 1024.0  0.0   696.9  24576.0   1025.7   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0   2955.2   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0   4558.0   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0   6260.6   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0   7886.0   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
1024.0 1024.0  0.0   696.9  24576.0   9422.6   88576.0    56995.9   46080.0 42649.4 7168.0 6144.0    123    0.374   5      0.321    0.695
